//ID	日付	時刻	緯度	経度	速度(km/s)	高度
861	2018/1/11	15-43-18	35.26.07.578	136.40.01.464	47.4	18
862	2018/1/11	15-43-19	35.26.08.010	136.40.01.458	47.7	18
863	2018/1/11	15-43-20	35.26.08.442	136.40.01.452	47.6	18
864	2018/1/11	15-43-21	35.26.08.874	136.40.01.452	46.8	19
865	2018/1/11	15-43-22	35.26.09.300	136.40.01.452	46.9	19
866	2018/1/11	15-43-23	35.26.09.726	136.40.01.452	47.1	19
867	2018/1/11	15-43-24	35.26.10.152	136.40.01.458	46.8	19
868	2018/1/11	15-43-25	35.26.10.572	136.40.01.458	45.5	19
869	2018/1/11	15-43-26	35.26.10.974	136.40.01.452	44.2	19
870	2018/1/11	15-43-27	35.26.11.370	136.40.01.440	42.8	19
871	2018/1/11	15-43-28	35.26.11.748	136.40.01.404	41.5	19
872	2018/1/11	15-43-29	35.26.12.114	136.40.01.344	40.2	19
873	2018/1/11	15-43-30	35.26.12.468	136.40.01.272	38.7	19
874	2018/1/11	15-43-31	35.26.12.810	136.40.01.206	37.1	19
875	2018/1/11	15-43-32	35.26.13.128	136.40.01.146	35.1	19
876	2018/1/11	15-43-33	35.26.13.434	136.40.01.098	33.29	19
877	2018/1/11	15-43-34	35.26.13.728	136.40.01.068	31.5	19
878	2018/1/11	15-43-35	35.26.13.998	136.40.01.050	28.8	19
879	2018/1/11	15-43-36	35.26.14.244	136.40.01.038	25.4	19
880	2018/1/11	15-43-37	35.26.14.448	136.40.01.032	21	19
881	2018/1/11	15-43-38	35.26.14.622	136.40.01.032	16.89	19
882	2018/1/11	15-43-39	35.26.14.754	136.40.01.032	13.5	19
883	2018/1/11	15-43-40	35.26.14.862	136.40.01.032	10.6	19
884	2018/1/11	15-43-41	35.26.14.940	136.40.01.032	7.9	19
885	2018/1/11	15-43-42	35.26.14.994	136.40.01.032	4.7	19
886	2018/1/11	15-43-43	35.26.15.024	136.40.01.032	1.8	19
887	2018/1/11	15-43-44	35.26.15.030	136.40.01.032	0.2	19
888	2018/1/11	15-43-45	35.26.15.030	136.40.01.032	0.1	19
889	2018/1/11	15-43-46	35.26.15.024	136.40.01.032	0.1	19
890	2018/1/11	15-43-47	35.26.15.024	136.40.01.032	0.1	19
891	2018/1/11	15-43-48	35.26.15.018	136.40.01.032	0.2	19
892	2018/1/11	15-43-49	35.26.15.018	136.40.01.038	0.2	19
893	2018/1/11	15-43-50	35.26.15.012	136.40.01.038	0.1	19
894	2018/1/11	15-43-51	35.26.15.012	136.40.01.038	0.2	19
895	2018/1/11	15-43-52	35.26.15.012	136.40.01.038	1.3	19
896	2018/1/11	15-43-53	35.26.15.042	136.40.01.038	5.7	19
897	2018/1/11	15-43-54	35.26.15.120	136.40.01.038	11.2	19
898	2018/1/11	15-43-55	35.26.15.240	136.40.01.038	15.6	19
899	2018/1/11	15-43-56	35.26.15.396	136.40.01.032	18.6	19
900	2018/1/11	15-43-57	35.26.15.582	136.40.01.032	21.9	19
901	2018/1/11	15-43-58	35.26.15.792	136.40.01.026	24.8	19
902	2018/1/11	15-43-59	35.26.16.032	136.40.01.020	27.2	19
903	2018/1/11	15-44-00	35.26.16.290	136.40.01.008	30.2	19
904	2018/1/11	15-44-01	35.26.16.578	136.40.00.984	32.7	19
905	2018/1/11	15-44-02	35.26.16.884	136.40.00.960	35	19
906	2018/1/11	15-44-03	35.26.17.214	136.40.00.936	37.2	19
907	2018/1/11	15-44-04	35.26.17.562	136.40.00.906	39.29	19
908	2018/1/11	15-44-05	35.26.17.928	136.40.00.870	41.2	19
909	2018/1/11	15-44-06	35.26.18.306	136.40.00.834	42.8	19
910	2018/1/11	15-44-07	35.26.18.702	136.40.00.798	44.5	19
911	2018/1/11	15-44-08	35.26.19.116	136.40.00.768	46.4	19
912	2018/1/11	15-44-09	35.26.19.548	136.40.00.738	48.2	19
913	2018/1/11	15-44-10	35.26.19.998	136.40.00.714	49.9	19
914	2018/1/11	15-44-11	35.26.20.454	136.40.00.696	51.3	20
915	2018/1/11	15-44-12	35.26.20.928	136.40.00.678	52.7	20
916	2018/1/11	15-44-13	35.26.21.420	136.40.00.654	54.3	20
917	2018/1/11	15-44-14	35.26.21.918	136.40.00.636	56	20
918	2018/1/11	15-44-15	35.26.22.434	136.40.00.612	57	20
919	2018/1/11	15-44-16	35.26.22.956	136.40.00.588	57.5	20
920	2018/1/11	15-44-17	35.26.23.478	136.40.00.564	58	20
921	2018/1/11	15-44-18	35.26.24.012	136.40.00.540	58.6	20
922	2018/1/11	15-44-19	35.26.24.546	136.40.00.516	59	20
923	2018/1/11	15-44-20	35.26.25.080	136.40.00.492	58.7	20
924	2018/1/11	15-44-21	35.26.25.608	136.40.00.468	58.1	20
925	2018/1/11	15-44-22	35.26.26.136	136.40.00.444	57.4	20
926	2018/1/11	15-44-23	35.26.26.652	136.40.00.420	56.5	20
927	2018/1/11	15-44-24	35.26.27.162	136.40.00.396	55.5	20
928	2018/1/11	15-44-25	35.26.27.654	136.40.00.378	54.1	20
929	2018/1/11	15-44-26	35.26.28.140	136.40.00.360	52.8	21
930	2018/1/11	15-44-27	35.26.28.614	136.40.00.336	51.9	21
931	2018/1/11	15-44-28	35.26.29.082	136.40.00.318	51.6	21
932	2018/1/11	15-44-29	35.26.29.550	136.40.00.300	51.7	21
933	2018/1/11	15-44-30	35.26.30.018	136.40.00.282	51.6	21
934	2018/1/11	15-44-31	35.26.30.486	136.40.00.264	50.8	21
935	2018/1/11	15-44-32	35.26.30.936	136.40.00.246	49.5	21
936	2018/1/11	15-44-33	35.26.31.380	136.40.00.228	48.4	21
937	2018/1/11	15-44-34	35.26.31.818	136.40.00.210	48.1	21
938	2018/1/11	15-44-35	35.26.32.256	136.40.00.192	48.1	21
939	2018/1/11	15-44-36	35.26.32.688	136.40.00.174	48.3	21
940	2018/1/11	15-44-37	35.26.33.126	136.40.00.156	48.4	21
941	2018/1/11	15-44-38	35.26.33.558	136.40.00.138	47.6	21
942	2018/1/11	15-44-39	35.26.33.984	136.40.00.120	46.7	21
943	2018/1/11	15-44-40	35.26.34.404	136.40.00.102	46.2	21
944	2018/1/11	15-44-41	35.26.34.818	136.40.00.090	45.3	21
945	2018/1/11	15-44-42	35.26.35.220	136.40.00.084	44	21
946	2018/1/11	15-44-43	35.26.35.610	136.40.00.084	42.6	21
947	2018/1/11	15-44-44	35.26.35.982	136.40.00.090	40.1	21
948	2018/1/11	15-44-45	35.26.36.324	136.40.00.102	35.6	22
949	2018/1/11	15-44-46	35.26.36.624	136.40.00.114	30.8	22
950	2018/1/11	15-44-47	35.26.36.870	136.40.00.114	25.1	22
951	2018/1/11	15-44-48	35.26.37.074	136.40.00.108	20.1	22
952	2018/1/11	15-44-49	35.26.37.230	136.40.00.102	16.3	22
953	2018/1/11	15-44-50	35.26.37.356	136.40.00.102	12.2	22
954	2018/1/11	15-44-51	35.26.37.446	136.40.00.096	8.3	22
955	2018/1/11	15-44-52	35.26.37.500	136.40.00.096	4.7	22
956	2018/1/11	15-44-53	35.26.37.518	136.40.00.096	1.6	22
957	2018/1/11	15-44-54	35.26.37.524	136.40.00.096	0.1	22
958	2018/1/11	15-44-55	35.26.37.518	136.40.00.096	0.2	22
959	2018/1/11	15-44-56	35.26.37.512	136.40.00.096	0.2	22
960	2018/1/11	15-44-57	35.26.37.512	136.40.00.096	0.5	22
961	2018/1/11	15-44-58	35.26.37.530	136.40.00.096	4.09	22
962	2018/1/11	15-44-59	35.26.37.584	136.40.00.096	9.1	22
963	2018/1/11	15-45-00	35.26.37.686	136.40.00.090	13.6	22
964	2018/1/11	15-45-01	35.26.37.818	136.40.00.084	16.5	22
965	2018/1/11	15-45-02	35.26.37.974	136.40.00.090	17.6	22
966	2018/1/11	15-45-03	35.26.38.124	136.40.00.138	17.5	22
967	2018/1/11	15-45-04	35.26.38.256	136.40.00.246	17.8	22
968	2018/1/11	15-45-05	35.26.38.352	136.40.00.408	19.6	22
969	2018/1/11	15-45-06	35.26.38.418	136.40.00.618	21.6	22
970	2018/1/11	15-45-07	35.26.38.448	136.40.00.870	23.6	22
971	2018/1/11	15-45-08	35.26.38.454	136.40.01.140	25.6	22
972	2018/1/11	15-45-09	35.26.38.460	136.40.01.434	27.6	22
973	2018/1/11	15-45-10	35.26.38.466	136.40.01.752	29.3	22
974	2018/1/11	15-45-11	35.26.38.466	136.40.02.088	30.9	22
975	2018/1/11	15-45-12	35.26.38.460	136.40.02.436	32.2	22
976	2018/1/11	15-45-13	35.26.38.442	136.40.02.802	33.6	22
977	2018/1/11	15-45-14	35.26.38.424	136.40.03.180	34.9	22
978	2018/1/11	15-45-15	35.26.38.412	136.40.03.576	36	22
979	2018/1/11	15-45-16	35.26.38.412	136.40.03.978	37	22
980	2018/1/11	15-45-17	35.26.38.418	136.40.04.398	37.9	22
981	2018/1/11	15-45-18	35.26.38.430	136.40.04.818	38.29	22
982	2018/1/11	15-45-19	35.26.38.442	136.40.05.244	38.6	22
983	2018/1/11	15-45-20	35.26.38.448	136.40.05.676	38.9	22
984	2018/1/11	15-45-21	35.26.38.460	136.40.06.108	39.2	22
985	2018/1/11	15-45-22	35.26.38.472	136.40.06.546	39.7	22
986	2018/1/11	15-45-23	35.26.38.478	136.40.06.990	40.29	22
987	2018/1/11	15-45-24	35.26.38.490	136.40.07.440	40.9	22
988	2018/1/11	15-45-25	35.26.38.496	136.40.07.896	41.5	22
989	2018/1/11	15-45-26	35.26.38.514	136.40.08.358	41.7	22
990	2018/1/11	15-45-27	35.26.38.532	136.40.08.814	41.4	22
991	2018/1/11	15-45-28	35.26.38.568	136.40.09.264	40.5	22
992	2018/1/11	15-45-29	35.26.38.616	136.40.09.702	39.4	22
993	2018/1/11	15-45-30	35.26.38.688	136.40.10.122	38.4	22
994	2018/1/11	15-45-31	35.26.38.772	136.40.10.530	37.5	22
995	2018/1/11	15-45-32	35.26.38.850	136.40.10.926	36.5	22
996	2018/1/11	15-45-33	35.26.38.922	136.40.11.316	35.5	22
997	2018/1/11	15-45-34	35.26.38.970	136.40.11.694	33.9	22
998	2018/1/11	15-45-35	35.26.38.976	136.40.12.048	31.3	22
999	2018/1/11	15-45-36	35.26.38.928	136.40.12.366	27.6	22
1000	2018/1/11	15-45-37	35.26.38.868	136.40.12.642	24.9	22
1001	2018/1/11	15-45-38	35.26.38.832	136.40.12.900	23	22
1002	2018/1/11	15-45-39	35.26.38.832	136.40.13.146	21.5	22
1003	2018/1/11	15-45-40	35.26.38.850	136.40.13.374	20.8	22
1004	2018/1/11	15-45-41	35.26.38.874	136.40.13.602	20.7	22
1005	2018/1/11	15-45-42	35.26.38.904	136.40.13.824	20.8	21
1006	2018/1/11	15-45-43	35.26.38.940	136.40.14.052	21.8	21
1007	2018/1/11	15-45-44	35.26.38.976	136.40.14.292	23	21
1008	2018/1/11	15-45-45	35.26.39.018	136.40.14.538	22.8	21
1009	2018/1/11	15-45-46	35.26.39.054	136.40.14.778	21.1	22
1010	2018/1/11	15-45-47	35.26.39.084	136.40.14.988	18.3	22
1011	2018/1/11	15-45-48	35.26.39.108	136.40.15.156	13.4	22
1012	2018/1/11	15-45-49	35.26.39.126	136.40.15.258	5.9	22
1013	2018/1/11	15-45-50	35.26.39.132	136.40.15.288	1.1	22
1014	2018/1/11	15-45-51	35.26.39.132	136.40.15.306	3.3	22
1015	2018/1/11	15-45-52	35.26.39.144	136.40.15.372	8.5	22
1016	2018/1/11	15-45-53	35.26.39.162	136.40.15.480	12.8	22
1017	2018/1/11	15-45-54	35.26.39.186	136.40.15.642	16.39	22
1018	2018/1/11	15-45-55	35.26.39.210	136.40.15.828	19.3	22
1019	2018/1/11	15-45-56	35.26.39.246	136.40.16.056	22.1	21
1020	2018/1/11	15-45-57	35.26.39.288	136.40.16.302	24.3	21
1021	2018/1/11	15-45-58	35.26.39.324	136.40.16.572	25.5	21
1022	2018/1/11	15-45-59	35.26.39.366	136.40.16.854	26.5	21
1023	2018/1/11	15-46-00	35.26.39.408	136.40.17.148	27.8	21
1024	2018/1/11	15-46-01	35.26.39.456	136.40.17.454	28.4	21
1025	2018/1/11	15-46-02	35.26.39.498	136.40.17.766	29.2	20
1026	2018/1/11	15-46-03	35.26.39.546	136.40.18.084	30.2	20
1027	2018/1/11	15-46-04	35.26.39.594	136.40.18.420	31.1	20
1028	2018/1/11	15-46-05	35.26.39.642	136.40.18.762	31.9	20
1029	2018/1/11	15-46-06	35.26.39.678	136.40.19.122	33.4	20
1030	2018/1/11	15-46-07	35.26.39.696	136.40.19.500	35.5	20
1031	2018/1/11	15-46-08	35.26.39.696	136.40.19.902	38.1	20
1032	2018/1/11	15-46-09	35.26.39.702	136.40.20.346	41.9	20
1033	2018/1/11	15-46-10	35.26.39.714	136.40.20.832	45.4	20
1034	2018/1/11	15-46-11	35.26.39.732	136.40.21.348	48.3	20
1035	2018/1/11	15-46-12	35.26.39.750	136.40.21.894	50.7	20
1036	2018/1/11	15-46-13	35.26.39.768	136.40.22.452	50.7	20
1037	2018/1/11	15-46-14	35.26.39.780	136.40.23.010	49.5	20
1038	2018/1/11	15-46-15	35.26.39.798	136.40.23.544	47.7	20
1039	2018/1/11	15-46-16	35.26.39.810	136.40.24.042	43.1	20
1040	2018/1/11	15-46-17	35.26.39.816	136.40.24.480	36.29	20
1041	2018/1/11	15-46-18	35.26.39.822	136.40.24.834	29.1	20
1042	2018/1/11	15-46-19	35.26.39.816	136.40.25.116	22.6	20
1043	2018/1/11	15-46-20	35.26.39.822	136.40.25.332	17.1	20
1044	2018/1/11	15-46-21	35.26.39.864	136.40.25.482	13.6	20
1045	2018/1/11	15-46-22	35.26.39.954	136.40.25.578	14.3	20
1046	2018/1/11	15-46-23	35.26.40.098	136.40.25.626	18.5	20
1047	2018/1/11	15-46-24	35.26.40.284	136.40.25.674	22.7	20
1048	2018/1/11	15-46-25	35.26.40.500	136.40.25.734	26	20
1049	2018/1/11	15-46-26	35.26.40.746	136.40.25.800	29.3	20
1050	2018/1/11	15-46-27	35.26.41.016	136.40.25.884	32.1	20
1051	2018/1/11	15-46-28	35.26.41.316	136.40.25.974	34.7	20
1052	2018/1/11	15-46-29	35.26.41.634	136.40.26.070	37.29	20
1053	2018/1/11	15-46-30	35.26.41.976	136.40.26.178	39.79	20
1054	2018/1/11	15-46-31	35.26.42.336	136.40.26.292	41.8	20
1055	2018/1/11	15-46-32	35.26.42.714	136.40.26.406	43.8	20
1056	2018/1/11	15-46-33	35.26.43.110	136.40.26.532	46	20
1057	2018/1/11	15-46-34	35.26.43.524	136.40.26.664	48.1	20
1058	2018/1/11	15-46-35	35.26.43.956	136.40.26.802	50.1	20
1059	2018/1/11	15-46-36	35.26.44.412	136.40.26.940	51.7	20
1060	2018/1/11	15-46-37	35.26.44.874	136.40.27.084	53.2	20
1061	2018/1/11	15-46-38	35.26.45.348	136.40.27.228	54.2	20
1062	2018/1/11	15-46-39	35.26.45.834	136.40.27.372	54.9	20
1063	2018/1/11	15-46-40	35.26.46.314	136.40.27.504	54.3	21
1064	2018/1/11	15-46-41	35.26.46.794	136.40.27.636	52.9	21
1065	2018/1/11	15-46-42	35.26.47.256	136.40.27.768	51.9	21
1066	2018/1/11	15-46-43	35.26.47.706	136.40.27.894	49.4	21
1067	2018/1/11	15-46-44	35.26.48.120	136.40.28.014	45.1	21
1068	2018/1/11	15-46-45	35.26.48.498	136.40.28.116	40.7	21
1069	2018/1/11	15-46-46	35.26.48.828	136.40.28.206	34.2	21
1070	2018/1/11	15-46-47	35.26.49.092	136.40.28.284	25.4	21
1071	2018/1/11	15-46-48	35.26.49.266	136.40.28.332	15.6	21
1072	2018/1/11	15-46-49	35.26.49.374	136.40.28.344	8.8	21
1073	2018/1/11	15-46-50	35.26.49.434	136.40.28.320	6.6	21
1074	2018/1/11	15-46-51	35.26.49.470	136.40.28.266	6.2	21
1075	2018/1/11	15-46-52	35.26.49.494	136.40.28.188	7.6	21
1076	2018/1/11	15-46-53	35.26.49.518	136.40.28.098	9.3	21
1077	2018/1/11	15-46-54	35.26.49.542	136.40.27.990	11.2	21
1078	2018/1/11	15-46-55	35.26.49.560	136.40.27.864	11.6	20
1079	2018/1/11	15-46-56	35.26.49.554	136.40.27.738	10.8	20
1080	2018/1/11	15-46-57	35.26.49.512	136.40.27.630	10.3	20
1081	2018/1/11	15-46-58	35.26.49.434	136.40.27.558	10.5	20
1082	2018/1/11	15-46-59	35.26.49.350	136.40.27.510	9.9	20
1083	2018/1/11	15-47-00	35.26.49.272	136.40.27.498	7.5	20
1084	2018/1/11	15-47-01	35.26.49.224	136.40.27.510	3.3	20
1085	2018/1/11	15-47-02	35.26.49.206	136.40.27.510	0.1	20
1086	2018/1/11	15-47-03	35.26.49.212	136.40.27.510	1.4	21
1087	2018/1/11	15-47-04	35.26.49.236	136.40.27.504	3	21
1088	2018/1/11	15-47-05	35.26.49.266	136.40.27.510	4.09	21
1089	2018/1/11	15-47-06	35.26.49.302	136.40.27.510	3.8	21
1090	2018/1/11	15-47-07	35.26.49.332	136.40.27.504	3.8	21
1091	2018/1/11	15-47-08	35.26.49.368	136.40.27.498	3.5	21
1092	2018/1/11	15-47-09	35.26.49.392	136.40.27.480	3.2	21
1093	2018/1/11	15-47-10	35.26.49.416	136.40.27.462	2.6	21
1094	2018/1/11	15-47-11	35.26.49.428	136.40.27.438	2	21
1095	2018/1/11	15-47-12	35.26.49.434	136.40.27.420	1.7	21
1096	2018/1/11	15-47-13	35.26.49.434	136.40.27.396	1.9	21
1097	2018/1/11	15-47-14	35.26.49.434	136.40.27.378	1.1	21
1098	2018/1/11	15-47-15	35.26.49.434	136.40.27.372	0.5	21
1099	2018/1/11	15-47-16	35.26.49.434	136.40.27.360	0.4	21
1100	2018/1/11	15-47-17	35.26.49.434	136.40.27.354	0.3	21
1101	2018/1/11	15-47-18	35.26.49.434	136.40.27.348	0.5	22
1102	2018/1/11	15-47-19	35.26.49.434	136.40.27.348	0.1	22
1103	2018/1/11	15-47-20	35.26.49.428	136.40.27.342	0.1	22
1104	2018/1/11	15-47-21	35.26.49.428	136.40.27.342	0.1	22
1105	2018/1/11	15-47-22	35.26.49.428	136.40.27.342	0.1	22
1106	2018/1/11	15-47-23	35.26.49.428	136.40.27.342	0.2	22
1107	2018/1/11	15-47-24	35.26.49.428	136.40.27.336	0.7	22
1108	2018/1/11	15-47-25	35.26.49.392	136.40.27.336	6.2	22
1109	2018/1/11	15-47-26	35.26.49.368	136.40.27.324	0.8	22
