ID	時間	x	y	status
584	15:50:50	-58	395	0
585	15:50:50	-213	428	0
586	15:50:50	1464	336	0
587	15:50:50	965	342	0
588	15:50:50	393	341	0
589	15:50:50	323	299	0
590	15:50:51	291	337	0
591	15:50:51	143	349	0
592	15:50:51	840	358	0
593	15:50:51	372	337	0
594	15:50:51	134	391	0
595	15:50:51	954	456	0
596	15:50:51	885	415	0
597	15:50:52	316	307	0
598	15:50:52	-106	369	0
599	15:50:52	366	329	0
600	15:50:52	170	343	0
601	15:50:52	125	336	0
602	15:50:52	236	319	0
603	15:50:53	-179	295	1
604	15:50:53	-283	371	2
605	15:50:53	-278	393	2
606	15:50:53	-53	331	2
607	15:50:53	388	301	2
608	15:50:53	96	330	2
609	15:50:53	198	310	2
610	15:50:53	225	286	2
611	15:50:54	405	305	2
612	15:50:54	722	310	2
613	15:50:54	1093	314	2
614	15:50:54	812	285	3
615	15:50:54	330	218	0
616	15:50:54	298	251	0
617	15:50:54	453	252	0
618	15:50:54	508	240	0
619	15:50:55	452	280	0
620	15:50:55	89	286	0
621	15:50:55	456	367	0
622	15:50:55	570	307	0
623	15:50:55	176	353	0
624	15:50:55	364	321	0
625	15:50:56	23	339	0
626	15:50:56	387	349	0
627	15:50:56	488	314	0
628	15:50:56	573	262	0
629	15:50:56	253	255	0
630	15:50:56	51	277	0
631	15:50:56	443	354	0
632	15:50:57	29	328	0
633	15:50:57	1437	370	0
634	15:50:57	731	287	0
635	15:50:57	1054	408	0
636	15:50:57	969	481	0
637	15:50:57	839	424	0
638	15:50:57	787	485	0
639	15:50:57	460	420	0
640	15:50:58	1170	368	0
641	15:50:58	1322	184	0
642	15:50:58	151	256	0
643	15:50:58	632	361	0
644	15:50:58	220	310	0
645	15:50:58	540	274	0
646	15:50:58	201	296	0
647	15:50:59	330	246	0
648	15:50:59	418	289	0
649	15:50:59	640	210	0
650	15:50:59	631	271	0
651	15:50:59	415	298	0
652	15:50:59	-38	300	0
653	15:50:59	1050	278	0
654	15:50:59	-20	218	0
655	15:51:00	217	309	0
656	15:51:00	927	400	0
657	15:51:00	934	368	0
658	15:51:00	1494	357	0
659	15:51:00	1177	344	0
660	15:51:00	739	284	0
661	15:51:00	1252	304	0
662	15:51:00	1109	480	0
663	15:51:00	-210	443	0
664	15:51:01	259	555	0
665	15:51:01	-527	507	0
666	15:51:01	115	497	1
667	15:51:01	874	386	2
668	15:51:01	1335	335	2
669	15:51:01	991	360	2
670	15:51:01	1635	335	3
671	15:51:02	862	293	0
672	15:51:02	1533	342	0
673	15:51:02	1438	279	0
674	15:51:02	993	414	0
675	15:51:02	1067	367	0
676	15:51:02	821	411	0
677	15:51:02	1075	379	0
678	15:51:03	1323	388	0
679	15:51:03	649	401	0
680	15:51:03	1099	383	0
681	15:51:03	607	439	0
682	15:51:03	1140	380	0
683	15:51:03	1106	405	0
684	15:51:03	1152	368	0
685	15:51:03	1460	532	0
686	15:51:04	281	360	0
687	15:51:04	-202	388	0
688	15:51:04	175	405	0
689	15:51:04	-198	378	1
690	15:51:04	18	379	2
691	15:51:04	915	475	2
692	15:51:04	1194	310	2
693	15:51:04	1038	382	2
694	15:51:05	1400	357	3
695	15:51:05	1321	370	0
696	15:51:05	884	371	0
697	15:51:05	740	356	0
698	15:51:05	1628	378	0
699	15:51:05	1128	313	0
700	15:51:05	1580	361	0
701	15:51:05	1798	428	0
702	15:51:06	1733	335	0
703	15:51:06	1848	348	0
704	15:51:06	1451	478	0
705	15:51:06	1136	242	0
706	15:51:06	1719	321	0
707	15:51:06	1545	319	0
708	15:51:06	352	346	0
709	15:51:06	232	331	0
710	15:51:07	119	355	0
711	15:51:07	542	360	0
712	15:51:07	1396	356	0
713	15:51:07	1408	353	0
714	15:51:07	1540	357	0
715	15:51:07	1016	387	0
716	15:51:07	645	311	0
717	15:51:07	967	207	0
718	15:51:08	469	296	0
719	15:51:08	503	284	0
720	15:51:08	123	292	0
721	15:51:08	378	344	0
722	15:51:08	406	459	0
723	15:51:08	883	422	0
724	15:51:08	924	323	0
725	15:51:08	1314	404	0
726	15:51:09	966	466	0
727	15:51:09	313	476	0
728	15:51:09	472	388	0
729	15:51:09	835	361	0
730	15:51:09	404	455	0
731	15:51:09	107	425	0
732	15:51:09	-166	420	0
733	15:51:09	150	502	0
734	15:51:10	342	491	0
735	15:51:10	12	481	0
736	15:51:10	80	269	1
737	15:51:10	99	399	2
738	15:51:11	-97	423	2
739	15:51:11	435	463	2
740	15:51:11	625	335	2
741	15:51:11	543	303	2
742	15:51:11	593	348	3
743	15:51:12	459	482	0
744	15:51:12	157	550	0
745	15:51:12	637	431	0
746	15:51:12	413	403	0
747	15:51:12	329	409	0
748	15:51:12	535	424	0
749	15:51:13	370	555	0
750	15:51:13	854	444	0
751	15:51:13	885	498	0
752	15:51:13	759	472	0
753	15:51:13	820	454	0
754	15:51:13	1232	414	0
755	15:51:13	1529	470	0
756	15:51:13	1097	450	0
757	15:51:14	1122	399	0
758	15:51:14	431	412	0
759	15:51:14	337	420	0
760	15:51:14	681	428	0
761	15:51:14	312	444	0
762	15:51:14	527	399	0
763	15:51:14	437	393	0
764	15:51:14	442	438	0
765	15:51:15	293	418	0
766	15:51:15	365	447	0
767	15:51:15	575	431	0
768	15:51:15	515	430	0
769	15:51:15	-43	455	0
770	15:51:15	904	423	0
771	15:51:15	248	435	0
772	15:51:15	1168	446	0
773	15:51:16	853	375	0
774	15:51:16	178	447	0
775	15:51:16	-36	423	0
776	15:51:16	787	543	0
777	15:51:16	270	415	0
778	15:51:16	-109	412	0
779	15:51:16	49	346	1
780	15:51:16	342	363	2
781	15:51:16	104	389	2
782	15:51:17	284	355	2
783	15:51:17	-347	471	2
784	15:51:17	1061	392	2
785	15:51:17	1588	368	2
786	15:51:17	-100	370	2
787	15:51:17	233	368	2
788	15:51:17	238	331	2
789	15:51:17	330	338	2
790	15:51:18	151	346	2
791	15:51:18	203	370	2
792	15:51:18	-365	456	2
793	15:51:18	1635	338	2
794	15:51:18	237	392	2
795	15:51:18	194	312	2
796	15:51:18	328	326	2
797	15:51:18	466	354	2
798	15:51:19	743	260	2
799	15:51:19	669	399	3
800	15:51:19	335	390	0
801	15:51:19	156	360	0
802	15:51:19	-141	343	0
803	15:51:19	-185	350	0
804	15:51:19	-158	343	1
805	15:51:20	17	334	2
806	15:51:20	-38	345	2
807	15:51:20	173	370	2
808	15:51:20	-75	348	2
809	15:51:20	1085	314	2
